Exercise ID,Exercise,Compound,Movement Pattern,Default Reps,Default Sets,Default Rest (s),Unilateral/Bilateral,Equipment,Location Suitability,Space Needed,Impact Level,Knee-Friendly,Shoulder-Friendly,Back-Friendly,Skill Level,Target RPE,Tempo,Metcon Score (1-5),Contraindications,Coaching Cues,Video URL,Tags,Body Region,Primary Muscle Group,Plane of Motion,Force Vector,Load Type,Home-Friendly,Outdoor-Friendly,Warm-Up Category,Est. Time/Set
11,Burpee,TRUE,Conditioning,10,3,45,Bilateral,Bodyweight,Home,Medium,High,FALSE,FALSE,FALSE,Intermediate,8,Fast,5,Joint pain,"Full depth squat, plank position, jump explosive, land soft",,Conditioning,Full Body,Full Body,Multi,Vertical,Bodyweight,TRUE,TRUE,Dynamic,40
12,Box Jump,FALSE,Jump/Power,8,3,120,Bilateral,Gym Equipment,Gym,Medium,High,FALSE,TRUE,TRUE,Intermediate,7,Explosive,4,Knee or ankle injury,"Athletic stance, swing arms, land softly, full hip extension",,Power,Lower Body,Quadriceps,Sagittal,Vertical,Bodyweight,FALSE,TRUE,,50
13,Dumbbell Row,TRUE,Horizontal Pull,10,3,60,Unilateral,Dumbbells,Home,Small,Low,TRUE,TRUE,TRUE,Beginner,7,2-0-2,2,Recent back surgery,"Hinge at hip, neutral spine, pull elbow back, squeeze shoulder blade",,Strength,Upper Body,Back,Transverse,Horizontal,External,TRUE,TRUE,,55
14,Barbell Back Squat,TRUE,Squat,6,4,120,Bilateral,Barbell,Gym,Medium,Moderate,FALSE,TRUE,FALSE,Advanced,8,3-0-3,2,Knee or back injury,"Bar on traps, chest up, knees out, depth to parallel, drive through heels",,Strength,Lower Body,Quadriceps,Sagittal,Vertical,External,FALSE,FALSE,,90
15,Deadlift,TRUE,Hinge,5,3,180,Bilateral,Barbell,Gym,Medium,Moderate,TRUE,TRUE,FALSE,Advanced,8,2-0-2,2,Lower back injury,"Neutral spine, lats tight, drive through floor, lockout with glutes",,Strength,Full Body,Hamstrings,Sagittal,Vertical,External,FALSE,FALSE,,100
16,Bench Press,TRUE,Horizontal Push,8,4,120,Bilateral,Barbell,Gym,Small,Low,TRUE,FALSE,TRUE,Intermediate,7,2-0-2,1,Shoulder impingement,"Arch back, retract shoulders, lower to chest, press straight up",,Strength,Upper Body,Chest,Transverse,Horizontal,External,FALSE,FALSE,,75
17,Barbell Row,TRUE,Horizontal Pull,8,3,90,Bilateral,Barbell,Gym,Medium,Low,TRUE,TRUE,FALSE,Intermediate,7,2-0-2,2,Lower back injury,"Hinge at hips, neutral spine, pull to sternum, control descent",,Strength,Upper Body,Back,Transverse,Horizontal,External,FALSE,FALSE,,70
18,Chin-Up,TRUE,Vertical Pull,6,3,120,Bilateral,Gym Equipment,Gym,Medium,Low,TRUE,FALSE,TRUE,Intermediate,7,2-0-2,2,Shoulder injury,"Supinated grip, pull chest to bar, control descent, full range",,Strength,Upper Body,Back,Sagittal,Vertical,Bodyweight,FALSE,TRUE,,65
19,Dips,TRUE,Vertical Push,8,3,90,Bilateral,Gym Equipment,Gym,Small,Low,TRUE,FALSE,FALSE,Intermediate,7,2-0-2,2,Shoulder impingement,"Lean forward, lower to 90°, press up, lock out elbows",,Strength,Upper Body,Chest,Sagittal,Vertical,Bodyweight,FALSE,FALSE,,60
20,Bulgarian Split Squat,TRUE,Lunge,8,3,60,Unilateral,Dumbbells,Home,Medium,Moderate,FALSE,TRUE,TRUE,Intermediate,7,2-0-2,2,Acute knee pain,"Rear foot elevated, torso upright, drop back knee, drive through front heel",,Strength,Lower Body,Quadriceps,Sagittal,Vertical,External,TRUE,FALSE,,60
21,Lateral Raise,FALSE,Vertical Push,12,3,45,Bilateral,Dumbbells,Home,Small,Low,TRUE,FALSE,TRUE,Beginner,6,2-1-2,1,Shoulder injury,"Slight bend in elbows, raise to shoulder height, control descent",,Accessory,Upper Body,Shoulders,Frontal,Horizontal,External,TRUE,TRUE,,40
22,Bicep Curl,FALSE,Horizontal Pull,12,3,45,Bilateral,Dumbbells,Home,Small,Low,TRUE,TRUE,TRUE,Beginner,6,2-0-2,1,Elbow tendonitis,"Elbows at sides, full range, squeeze at top, control descent",,Accessory,Upper Body,Biceps,Sagittal,Horizontal,External,TRUE,TRUE,,40
23,Tricep Extension,FALSE,Horizontal Push,12,3,45,Bilateral,Dumbbells,Home,Small,Low,TRUE,FALSE,TRUE,Beginner,6,2-0-2,1,Elbow pain,"Elbows fixed, extend fully, control descent, keep elbows in",,Accessory,Upper Body,Triceps,Sagittal,Horizontal,External,TRUE,TRUE,,40
24,Face Pull,FALSE,Horizontal Pull,15,3,45,Bilateral,Cable/Machine,Gym,Small,Low,TRUE,FALSE,TRUE,Beginner,6,2-1-2,1,Shoulder impingement,"High cable, pull to face, external rotation, squeeze rear delts",,Accessory,Upper Body,Shoulders,Transverse,Horizontal,External,FALSE,FALSE,,35
25,Russian Twist,FALSE,Core – Brace/Anti-Extension,20,3,30,Bilateral,Bodyweight,Home,Small,Low,TRUE,TRUE,FALSE,Beginner,6,Controlled,2,Lower back pain,"Lean back, feet up, rotate torso, touch ground each side",,Core,Core,Obliques,Transverse,Rotational,Bodyweight,TRUE,TRUE,,30
26,Mountain Climbers,FALSE,Conditioning,30,3,30,Bilateral,Bodyweight,Home,Small,High,FALSE,TRUE,FALSE,Beginner,7,Fast,5,Wrist or shoulder pain,"Plank position, drive knees to chest, fast pace, hips down",,Conditioning,Full Body,Core,Multi,Horizontal,Bodyweight,TRUE,TRUE,Dynamic,25
27,Jumping Jacks,FALSE,Conditioning,20,3,30,Bilateral,Bodyweight,Home,Small,High,FALSE,TRUE,TRUE,Beginner,5,Fast,4,Joint pain,"Jump feet wide, arms overhead, land soft, fast pace",,Conditioning,Full Body,Full Body,Frontal,Vertical,Bodyweight,TRUE,TRUE,General,20
28,High Knees,FALSE,Conditioning,30,3,30,Bilateral,Bodyweight,Home,Small,High,FALSE,TRUE,TRUE,Beginner,6,Fast,5,Knee pain,"Drive knees to waist, pump arms, stay on balls of feet",,Conditioning,Full Body,Hip Flexors,Sagittal,Vertical,Bodyweight,TRUE,TRUE,Dynamic,25
29,Leg Raise,FALSE,Core – Brace/Anti-Extension,12,3,45,Bilateral,Bodyweight,Home,Small,Low,TRUE,TRUE,FALSE,Intermediate,6,2-0-2,2,Lower back pain,"Lie flat, raise legs to 90°, control descent, keep lower back flat",,Core,Core,Abs,Sagittal,Anti-Extension,Bodyweight,TRUE,TRUE,,35
30,Bird Dog,FALSE,Core – Brace/Anti-Extension,10,3,30,Unilateral,Bodyweight,Home,Small,Low,TRUE,TRUE,TRUE,Beginner,5,2-1-2,1,Lower back pain,"Tabletop position, extend opposite arm and leg, hold, alternate",,Core,Core,Lower Back,Multi,Anti-Rotation,Bodyweight,TRUE,TRUE,Static,25
31,Glute Bridge,FALSE,Hinge,15,3,45,Bilateral,Bodyweight,Home,Small,Low,TRUE,TRUE,TRUE,Beginner,6,2-1-2,2,Hip pain,"Feet flat, drive through heels, squeeze glutes at top, shoulders down",,Strength,Lower Body,Glutes,Sagittal,Vertical,Bodyweight,TRUE,TRUE,Dynamic,30
32,Single Leg Deadlift,TRUE,Hinge,8,3,60,Unilateral,Dumbbells,Home,Small,Low,TRUE,TRUE,FALSE,Intermediate,7,2-0-2,2,Balance issues,"Hinge at hip, leg extends back, neutral spine, squeeze glute",,Strength,Lower Body,Hamstrings,Sagittal,Vertical,External,TRUE,TRUE,,55
33,Step-Up,TRUE,Lunge,10,3,60,Unilateral,Dumbbells,Home,Medium,Moderate,FALSE,TRUE,TRUE,Beginner,6,1-0-1,3,Knee pain,"Drive through heel, full hip extension, control descent, stay upright",,Strength,Lower Body,Quadriceps,Sagittal,Vertical,External,TRUE,TRUE,,50
34,Wall Sit,FALSE,Squat,45,3,60,Bilateral,Bodyweight,Home,Small,Low,FALSE,TRUE,TRUE,Beginner,6,Hold,1,Knee pain,"Back flat on wall, knees at 90°, thighs parallel to ground",,Strength,Lower Body,Quadriceps,Sagittal,Isometric,Bodyweight,TRUE,TRUE,Static,50
35,Sled Push,FALSE,Conditioning,30,3,120,Bilateral,Strongman,Gym,Large,High,FALSE,TRUE,FALSE,Intermediate,8,Fast,5,Lower back injury,"Low position, drive through legs, short powerful steps, tight core",,Conditioning,Full Body,Legs,Sagittal,Horizontal,External,FALSE,TRUE,,40
36,Battle Ropes,FALSE,Conditioning,30,3,45,Bilateral,Strongman,Gym,Medium,Moderate,TRUE,FALSE,TRUE,Beginner,7,Fast,5,Shoulder injury,"Athletic stance, wave ropes fast, maintain posture, full arm movement",,Conditioning,Upper Body,Shoulders,Multi,Vertical,External,FALSE,FALSE,,35
37,Assault Bike,FALSE,Conditioning,60,3,60,Bilateral,Cardio Machine,Gym,Small,Moderate,TRUE,TRUE,TRUE,Beginner,7,Steady,4,Acute injuries,"Full body effort, steady pace or intervals, push and pull equally",,Conditioning,Full Body,Full Body,Multi,Horizontal,Bodyweight,FALSE,FALSE,,65
38,Rowing Machine,FALSE,Conditioning,500m,3,90,Bilateral,Cardio Machine,Gym,Medium,Low,TRUE,FALSE,FALSE,Beginner,7,Rhythmic,4,Back injury,"Legs-hips-arms sequence, drive with legs, pull to sternum",,Conditioning,Full Body,Back,Multi,Horizontal,External,FALSE,FALSE,,120
39,Treadmill Run,FALSE,Conditioning,600m,3,60,Bilateral,Cardio Machine,Gym,Small,High,FALSE,TRUE,TRUE,Beginner,6,Steady,4,Joint pain,"Upright posture, midfoot strike, relaxed shoulders, controlled breathing",,Conditioning,Full Body,Legs,Sagittal,Horizontal,Bodyweight,FALSE,FALSE,,180
40,Incline Push-Up,TRUE,Horizontal Push,15,3,45,Bilateral,Bodyweight,Home,Small,Low,TRUE,TRUE,TRUE,Beginner,5,2-0-2,2,Shoulder pain,"Hands on elevation, full range, tight core, controlled descent",,Strength,Upper Body,Chest,Transverse,Horizontal,Bodyweight,TRUE,TRUE,Dynamic,40
41,Decline Push-Up,TRUE,Horizontal Push,10,3,60,Bilateral,Bodyweight,Home,Small,Moderate,TRUE,FALSE,TRUE,Intermediate,7,2-0-2,3,Shoulder impingement,"Feet elevated, hands under shoulders, full range, tight core",,Strength,Upper Body,Chest,Transverse,Horizontal,Bodyweight,TRUE,TRUE,,50
42,Diamond Push-Up,TRUE,Horizontal Push,8,3,60,Bilateral,Bodyweight,Home,Small,Moderate,TRUE,FALSE,TRUE,Intermediate,7,2-0-2,2,Wrist or elbow pain,"Hands together under chest, elbows in, full range, tight core",,Strength,Upper Body,Triceps,Transverse,Horizontal,Bodyweight,TRUE,TRUE,,45
43,Pike Push-Up,TRUE,Vertical Push,10,3,60,Bilateral,Bodyweight,Home,Small,Moderate,TRUE,FALSE,TRUE,Intermediate,7,2-0-2,2,Shoulder injury,"Hips high, head between arms, lower forehead to ground, press up",,Strength,Upper Body,Shoulders,Sagittal,Vertical,Bodyweight,TRUE,TRUE,Dynamic,45
44,Skater Jumps,FALSE,Conditioning,20,3,30,Unilateral,Bodyweight,Home,Medium,High,FALSE,TRUE,TRUE,Intermediate,7,Fast,5,Ankle or knee injury,"Jump side to side, land on one foot, absorb with hip, fast pace",,Conditioning,Lower Body,Legs,Frontal,Horizontal,Bodyweight,TRUE,TRUE,Dynamic,30
45,Bear Crawl,FALSE,Conditioning,30,3,45,Bilateral,Bodyweight,Home,Medium,Moderate,TRUE,TRUE,TRUE,Beginner,6,Controlled,3,Wrist or shoulder pain,"Hands and feet down, crawl forward, hips low, core tight",,Conditioning,Full Body,Core,Multi,Horizontal,Bodyweight,TRUE,TRUE,Dynamic,35
46,Inchworm,FALSE,Conditioning,10,2,30,Bilateral,Bodyweight,Home,Small,Low,TRUE,TRUE,TRUE,Beginner,5,Controlled,2,Hamstring tightness,"Touch toes, walk hands out to plank, walk feet to hands, stand",,Conditioning,Full Body,Hamstrings,Multi,Horizontal,Bodyweight,TRUE,TRUE,Dynamic,25
47,Squat Jump,FALSE,Jump/Power,10,3,60,Bilateral,Bodyweight,Home,Small,High,FALSE,TRUE,TRUE,Intermediate,7,Explosive,4,Knee injury,"Squat depth, jump high, land soft in squat, control landing",,Power,Lower Body,Quadriceps,Sagittal,Vertical,Bodyweight,TRUE,TRUE,Dynamic,40
48,Front Squat,TRUE,Squat,8,3,90,Bilateral,Barbell,Gym,Medium,Moderate,FALSE,TRUE,FALSE,Advanced,8,2-0-2,2,Wrist or knee pain,"Bar on front delts, elbows high, upright torso, depth to parallel",,Strength,Lower Body,Quadriceps,Sagittal,Vertical,External,FALSE,FALSE,,75
49,Sumo Deadlift,TRUE,Hinge,8,3,90,Bilateral,Barbell,Gym,Medium,Moderate,TRUE,TRUE,FALSE,Intermediate,7,2-0-2,2,Hip or back injury,"Wide stance, toes out, neutral spine, vertical shins, drive through floor",,Strength,Lower Body,Glutes,Sagittal,Vertical,External,FALSE,FALSE,,85
50,Hip Thrust,FALSE,Hinge,12,3,60,Bilateral,Barbell,Gym,Small,Low,TRUE,TRUE,TRUE,Intermediate,7,2-1-2,2,Lower back pain,"Shoulders on bench, drive through heels, full hip extension, squeeze glutes",,Strength,Lower Body,Glutes,Sagittal,Vertical,External,FALSE,FALSE,,55
51,Leg Press,TRUE,Squat,12,3,90,Bilateral,Gym Equipment,Gym,Small,Low,FALSE,TRUE,TRUE,Beginner,6,2-0-2,1,Knee pain,"Feet shoulder width, full range, don't lock knees, control weight",,Strength,Lower Body,Quadriceps,Sagittal,Vertical,External,FALSE,FALSE,,70
52,Leg Curl,FALSE,Hinge,12,3,45,Bilateral,Gym Equipment,Gym,Small,Low,TRUE,TRUE,TRUE,Beginner,6,2-0-2,1,Hamstring injury,"Lie flat, curl heels to glutes, squeeze hamstrings, control descent",,Accessory,Lower Body,Hamstrings,Sagittal,Horizontal,External,FALSE,FALSE,,35
53,Leg Extension,FALSE,Squat,12,3,45,Bilateral,Gym Equipment,Gym,Small,Low,FALSE,TRUE,TRUE,Beginner,6,2-0-2,1,Knee pain,"Sit back, extend legs fully, squeeze quads, control descent",,Accessory,Lower Body,Quadriceps,Sagittal,Horizontal,External,FALSE,FALSE,,35
54,Calf Raise,FALSE,Squat,15,3,30,Bilateral,Bodyweight,Home,Small,Low,TRUE,TRUE,TRUE,Beginner,6,2-1-2,1,Achilles injury,"Balls of feet on edge, raise up high, squeeze calves, control descent",,Accessory,Lower Body,Calves,Sagittal,Vertical,Bodyweight,TRUE,TRUE,,25
55,Cable Fly,FALSE,Horizontal Push,12,3,45,Bilateral,Cable/Machine,Gym,Small,Low,TRUE,FALSE,TRUE,Intermediate,6,2-1-2,1,Shoulder impingement,"Slight bend in elbows, bring hands together, squeeze chest, control",,Accessory,Upper Body,Chest,Transverse,Horizontal,External,FALSE,FALSE,,40
56,Cable Crossover,FALSE,Horizontal Push,12,3,45,Bilateral,Cable/Machine,Gym,Medium,Low,TRUE,FALSE,TRUE,Intermediate,6,2-1-2,1,Shoulder injury,"High to low or low to high, squeeze chest, full range, control",,Accessory,Upper Body,Chest,Transverse,Horizontal,External,FALSE,FALSE,,40
57,Lat Pulldown,TRUE,Vertical Pull,10,3,60,Bilateral,Cable/Machine,Gym,Small,Low,TRUE,TRUE,TRUE,Beginner,7,2-0-2,2,Shoulder pain,"Wide grip, pull to chest, lean back slightly, squeeze shoulder blades",,Strength,Upper Body,Back,Sagittal,Vertical,External,FALSE,FALSE,,55
58,Seated Cable Row,TRUE,Horizontal Pull,10,3,60,Bilateral,Cable/Machine,Gym,Small,Low,TRUE,TRUE,FALSE,Beginner,7,2-0-2,2,Lower back injury,"Sit upright, pull to sternum, squeeze shoulder blades, control release",,Strength,Upper Body,Back,Transverse,Horizontal,External,FALSE,FALSE,,55
59,Leg Press Calf Raise,FALSE,Squat,15,3,30,Bilateral,Gym Equipment,Gym,Small,Low,TRUE,TRUE,TRUE,Beginner,6,2-1-2,1,Achilles pain,"Press with balls of feet, full range, squeeze calves at top",,Accessory,Lower Body,Calves,Sagittal,Vertical,External,FALSE,FALSE,,30
60,Hamstring Curl Machine,FALSE,Hinge,12,3,45,Bilateral,Gym Equipment,Gym,Small,Low,TRUE,TRUE,TRUE,Beginner,6,2-0-2,1,Hamstring injury,"Seated or lying, curl fully, squeeze hamstrings, control descent",,Accessory,Lower Body,Hamstrings,Sagittal,Horizontal,External,FALSE,FALSE,,35
